"","simid","value","obsdeg","deg","obsespart","espart","obsdist","dist"
"2",22,3,0.111111111111111,0,0.0571428571428571,0.278637770897833,0.236198462613557,0.278637770897833
"2",23,3,0.111111111111111,0,0.0571428571428571,0.241691842900302,0.236198462613557,0.241691842900302
"2",24,3,0.111111111111111,0,0.0571428571428571,0.243670886075949,0.236198462613557,0.243670886075949
"2",25,3,0.111111111111111,0,0.0571428571428571,0.251515151515152,0.236198462613557,0.251515151515152
"2",26,3,0.111111111111111,0,0.0571428571428571,0.321192052980132,0.236198462613557,0.321192052980132
"2",27,3,0.111111111111111,0,0.0571428571428571,0.223642172523962,0.236198462613557,0.223642172523962
"2",28,3,0.111111111111111,0,0.0571428571428571,0.240121580547112,0.236198462613557,0.240121580547112
"2",29,3,0.111111111111111,0,0.0571428571428571,0.214285714285714,0.236198462613557,0.214285714285714
"2",30,3,0.111111111111111,0,0.0571428571428571,0.306666666666667,0.236198462613557,0.306666666666667
"3",1,4,0.037037037037037,0,0.0571428571428571,0.19344262295082,0.0188679245283019,0.19344262295082
"3",2,4,0.037037037037037,0,0.0571428571428571,0.203448275862069,0.0188679245283019,0.203448275862069
"3",3,4,0.037037037037037,0,0.0571428571428571,0.214983713355049,0.0188679245283019,0.214983713355049
"3",4,4,0.037037037037037,0,0.0571428571428571,0.211221122112211,0.0188679245283019,0.211221122112211
"3",5,4,0.037037037037037,0,0.0571428571428571,0.216129032258065,0.0188679245283019,0.216129032258065
"3",6,4,0.037037037037037,0,0.0571428571428571,0.19047619047619,0.0188679245283019,0.19047619047619
"3",7,4,0.037037037037037,0.0185185185185185,0.0571428571428571,0.230529595015576,0.0188679245283019,0.230529595015576
"3",8,4,0.037037037037037,0,0.0571428571428571,0.226666666666667,0.0188679245283019,0.226666666666667
"3",9,4,0.037037037037037,0,0.0571428571428571,0.260135135135135,0.0188679245283019,0.260135135135135
"3",10,4,0.037037037037037,0,0.0571428571428571,0.182926829268293,0.0188679245283019,0.182926829268293
"3",11,4,0.037037037037037,0,0.0571428571428571,0.164335664335664,0.0188679245283019,0.164335664335664
"3",12,4,0.037037037037037,0,0.0571428571428571,0.243076923076923,0.0188679245283019,0.243076923076923
"3",13,4,0.037037037037037,0,0.0571428571428571,0.229607250755287,0.0188679245283019,0.229607250755287
"3",14,4,0.037037037037037,0,0.0571428571428571,0.226537216828479,0.0188679245283019,0.226537216828479
"3",15,4,0.037037037037037,0,0.0571428571428571,0.184210526315789,0.0188679245283019,0.184210526315789
"3",16,4,0.037037037037037,0,0.0571428571428571,0.20265780730897,0.0188679245283019,0.20265780730897
"3",17,4,0.037037037037037,0,0.0571428571428571,0.300911854103343,0.0188679245283019,0.300911854103343
"3",18,4,0.037037037037037,0,0.0571428571428571,0.242424242424242,0.0188679245283019,0.242424242424242
"3",19,4,0.037037037037037,0,0.0571428571428571,0.287037037037037,0.0188679245283019,0.287037037037037
"3",20,4,0.037037037037037,0,0.0571428571428571,0.248299319727891,0.0188679245283019,0.248299319727891
"3",21,4,0.037037037037037,0.0185185185185185,0.0571428571428571,0.176470588235294,0.0188679245283019,0.176470588235294
"3",22,4,0.037037037037037,0,0.0571428571428571,0.213622291021672,0.0188679245283019,0.213622291021672
"3",23,4,0.037037037037037,0,0.0571428571428571,0.226586102719033,0.0188679245283019,0.226586102719033
"3",24,4,0.037037037037037,0,0.0571428571428571,0.268987341772152,0.0188679245283019,0.268987341772152
"3",25,4,0.037037037037037,0,0.0571428571428571,0.221212121212121,0.0188679245283019,0.221212121212121
"3",26,4,0.037037037037037,0,0.0571428571428571,0.16887417218543,0.0188679245283019,0.16887417218543
"3",27,4,0.037037037037037,0,0.0571428571428571,0.226837060702875,0.0188679245283019,0.226837060702875
"3",28,4,0.037037037037037,0,0.0571428571428571,0.237082066869301,0.0188679245283019,0.237082066869301
"3",29,4,0.037037037037037,0,0.0571428571428571,0.214285714285714,0.0188679245283019,0.214285714285714
"3",30,4,0.037037037037037,0.0185185185185185,0.0571428571428571,0.206666666666667,0.0188679245283019,0.206666666666667
"4",1,5,0.037037037037037,0,0.0825396825396825,0.108196721311475,0,0.108196721311475
"4",2,5,0.037037037037037,0,0.0825396825396825,0.110344827586207,0,0.110344827586207
"4",3,5,0.037037037037037,0.0185185185185185,0.0825396825396825,0.120521172638436,0,0.120521172638436
"4",4,5,0.037037037037037,0,0.0825396825396825,0.132013201320132,0,0.132013201320132
"4",5,5,0.037037037037037,0.0185185185185185,0.0825396825396825,0.138709677419355,0,0.138709677419355
"4",6,5,0.037037037037037,0.0185185185185185,0.0825396825396825,0.152380952380952,0,0.152380952380952
"4",7,5,0.037037037037037,0,0.0825396825396825,0.137071651090343,0,0.137071651090343
"4",8,5,0.037037037037037,0,0.0825396825396825,0.103333333333333,0,0.103333333333333
"4",9,5,0.037037037037037,0,0.0825396825396825,0.125,0,0.125
"4",10,5,0.037037037037037,0,0.0825396825396825,0.143292682926829,0,0.143292682926829
"4",11,5,0.037037037037037,0.0185185185185185,0.0825396825396825,0.111888111888112,0,0.111888111888112
"4",12,5,0.037037037037037,0,0.0825396825396825,0.147692307692308,0,0.147692307692308
"4",13,5,0.037037037037037,0,0.0825396825396825,0.163141993957704,0,0.163141993957704
"4",14,5,0.037037037037037,0.0185185185185185,0.0825396825396825,0.113268608414239,0,0.113268608414239
"4",15,5,0.037037037037037,0.037037037037037,0.0825396825396825,0.0986842105263158,0,0.0986842105263158
"4",16,5,0.037037037037037,0.0185185185185185,0.0825396825396825,0.146179401993355,0,0.146179401993355
"4",17,5,0.037037037037037,0,0.0825396825396825,0.127659574468085,0,0.127659574468085
"4",18,5,0.037037037037037,0,0.0825396825396825,0.139393939393939,0,0.139393939393939
"4",19,5,0.037037037037037,0.0185185185185185,0.0825396825396825,0.141975308641975,0,0.141975308641975
"4",20,5,0.037037037037037,0,0.0825396825396825,0.125850340136054,0,0.125850340136054
"4",21,5,0.037037037037037,0.0185185185185185,0.0825396825396825,0.15359477124183,0,0.15359477124183
"4",22,5,0.037037037037037,0,0.0825396825396825,0.148606811145511,0,0.148606811145511
"4",23,5,0.037037037037037,0,0.0825396825396825,0.141993957703928,0,0.141993957703928
